title,writers,text
Wanderlust,Paul McCartney,"Light out Wanderlust[SEP*] Head us out to sea[SEP*] Captain says there'll be a bust[SEP*] This one's not for me[SEP*] Take us from the dark[SEP*] Out where we can see[SEP*] Captain's out to make his mark[SEP*] This one's not to be[SEP*] Light out Wanderlust[SEP*] Help us to be free[SEP*] Light out Wanderlust[SEP*] Do it just for me[SEP*] Wanderlust[SEP*] Oh, where did I go wrong, my love?[SEP*] What petty crime was I found guilty of?[SEP*] What better time to find a brand new day?[SEP*] Oh - Wanderlust away[SEP*] Light out Wanderlust[SEP*] Help us to be free[SEP*] Light out Wanderlust[SEP*] Do it just for me[SEP*] Wanderlust[SEP*] Captain's out to make his mark[SEP*] This one's not to be[SEP*] Light out Wanderlust[SEP*] (Oh where did I go wrong, my love?)[SEP*] Head us out to sea[SEP*] (What petty crime was I found guilty of?)[SEP*] Captain says there'll be a bust[SEP*] (What better time to find a brand new day?)[SEP*] This one's not for me[SEP*] (Oh - Wanderlust away)[SEP*] Dropping a line[SEP*] Maybe this time[SEP*] It's wanderlust for me"
Early Days,Paul McCartney,"They can't take it from me, if they try[SEP*] I lived through those early days[SEP*] So many times I had to change the pain to laughter[SEP*] Just to keep from getting crazed[SEP*] Dressed in black from head to toe[SEP*] Two guitars across our backs[SEP*] We would walk the city roads[SEP*] Seeking someone who would listen to the music[SEP*] That we were writing down at home[SEP*] But they can't take it from me, if they try[SEP*] I lived through those early days[SEP*] So many times I had to change the pain to laughter[SEP*] Just to keep from getting crazy[SEP*] Hair slicked back with Vaseline[SEP*] Like the pictures on the wall[SEP*] Of the local record shop[SEP*] Hearing noises we were destined to remember[SEP*] We willed the thrill to never stop[SEP*] May sweet memories of friends from the past[SEP*] Always come to you, when you look for them[SEP*] And your inspiration, long may it last[SEP*] May it come to you time and time again[SEP*] Now everybody seems to have their own opinion[SEP*] Who did this and who did that[SEP*] But as for me I don't see how they can remember[SEP*] When they weren't where it was at[SEP*] And they can't take it from me, if they try[SEP*] I lived through those early days[SEP*] So many times I had to change the pain to laughter[SEP*] Just to keep from getting crazy[SEP*] I lived through those early days[SEP*] I lived through those early days"
Take It Away,Paul McCartney,"Take it away[SEP*] Want to hear you play[SEP*] Till the lights go down[SEP*] Take it away[SEP*] Don't you want to stay[SEP*] Till there's no one else around?[SEP*] Take it away[SEP*] Want to hear you play[SEP*] Till the lights go down[SEP*] Take it away[SEP*] Don't you want to stay[SEP*] Till there's no one else around?[SEP*] Lonely driver[SEP*] Out on the road[SEP*] With a hundred miles to go[SEP*] Sole survivor[SEP*] Carrying the load[SEP*] Switches on his radio[SEP*] Take it away[SEP*] Want to hear you play[SEP*] Till the lights go down (down down)[SEP*] Take it away[SEP*] Don't you want to stay[SEP*] Till there's no one else around?[SEP*] Take it away[SEP*] Want to hear you play[SEP*] Till the lights go down (down down)[SEP*] Take it away[SEP*] Don't you want to stay[SEP*] Till there's no one else around?[SEP*] In the audience[SEP*] Watching the show[SEP*] With a paper in his hand[SEP*] (In his hand, in his hand)[SEP*] Some important impresario[SEP*] Has a message for the band[SEP*] Oh[SEP*] Take it away[SEP*] Want to hear you play[SEP*] Till the lights go down (down down)[SEP*] Take it away[SEP*] Don't you want to stay[SEP*] Till there's no one else around?[SEP*] You never know who may be[SEP*] Listening to you[SEP*] Never know who may be[SEP*] Listening to you[SEP*] You never know who may be[SEP*] Listening to you[SEP*] Take it away, take it away[SEP*] After hours[SEP*] Late in the bar[SEP*] By a darkened corner seat[SEP*] Faded flowers wait in the jar[SEP*] Till the evening is complete"
Stranglehold,Paul McCartney,"Can I get you to give me a minute of your time?[SEP*] Can I get you to slip me the answer?[SEP*] Can I get you to slow me a little of your mime?[SEP*] You were always a very good dancer[SEP*] I'd be happy to show you a bit of what I found[SEP*] I'd be happy to share in its beauty[SEP*] I'd be happy to lay low inevitably bound[SEP*] I would only be doing my duty[SEP*] I wait, I wait, I can wait, I can wait back in the bar[SEP*] I can wait, I can wait, I can wait back in the car[SEP*] I'll be waiting for you[SEP*] Stranglehold, you know you've got on me[SEP*] I don't want to go without you[SEP*] Stranglehold, you've got me where you want me[SEP*] But I want to know more about you[SEP*] I want to know more about you[SEP*] Are you willing to wager a little of your life?[SEP*] Are you willing to take such a gamble?[SEP*] Are you ready to walk on the edge of the knife?[SEP*] Then I think we can skip the preamble[SEP*] I wait, I wait, I can wait, I can't wait back in the bar[SEP*] I can wait, I can wait, I can wait back in the car[SEP*] I'll be waiting for you[SEP*] I'll be waiting...[SEP*] Stranglehold, you know, you've got on me[SEP*] I don't want to go without you[SEP*] Stranglehold, you've got me where you want me[SEP*] And I want to know more about you[SEP*] I want to know more about you[SEP*] I can wait, I can wait back in the bar[SEP*] I can wait, I can wait, I can wait back in the car[SEP*] I'll be waiting for you"
Only Love Remains,Paul McCartney,"And if you take your love away from me[SEP*] I'm only going to want it back[SEP*] I'll probably pretend I didn't see[SEP*] But knowing me, I'll want you back again, and again[SEP*] 'Til the word has lost its meaning[SEP*] And love is all that stays[SEP*] Only love remains[SEP*] If you should ever feel that something's wrong[SEP*] I'm going to want to put it right[SEP*] To bring a happy ending to our song[SEP*] I'll carry on believing in a love[SEP*] If your love was to trickle through my fingers[SEP*] What would it leave me with?[SEP*] Only love remains[SEP*] Only love[SEP*] Old enough and strong enough to stretch across the world[SEP*] Taking the sand inside an oyster, changing it into a pearl[SEP*] Making another magic transformation[SEP*] Find the right boy for the right girl[SEP*] When all our friends have gone away and we're alone[SEP*] There's nothing left to show about[SEP*] Together we'll explore the great unknown[SEP*] I'd say we won't be going out tonight[SEP*] Let tonight be the one that we remember[SEP*] When love is all that stays[SEP*] Only love remains[SEP*] Only love remains"
Spies Like Us,Paul McCartney,"Ooh ooh what do you do[SEP*] No one else can dance like you[SEP*] So what's all the fuss[SEP*] There ain't nobody that spies like us[SEP*] Hey hey what do you say[SEP*] Someone took your plans away[SEP*] So what's all the fuss[SEP*] There ain't nobody that spies like us[SEP*] Hey don't feel afraid[SEP*] Of an undercover aid[SEP*] There's no need to fuss[SEP*] There ain't nobody that spies like us[SEP*] Spies like us[SEP*] We don't know the meaning of fear[SEP*] We play every minute by year[SEP*] One for all and all for one[SEP*] Everybody's on the run[SEP*] Especially at this time of year[SEP*] Ooh ooh what do you do[SEP*] No one else can dance like you[SEP*] So what's all the fuss[SEP*] There ain't nobody got spies like us[SEP*] Hey hey what do you say[SEP*] No one else can look that way[SEP*] So what's all the fuss[SEP*] There ain't nobody that spies like us[SEP*] We get there by hook or by crook[SEP*] We don't do a thing by the book[SEP*] Never needed special clothes[SEP*] How we did it no one knows[SEP*] I guess we must have had what it took[SEP*] Ooh ooh, ooh[SEP*] Oh when things get tough[SEP*] (Oh when things get tough)[SEP*] Guys like us act rough[SEP*] (Guys like us act rough)[SEP*] Hey hey what do you say[SEP*] Someone took your plans away[SEP*] So what's all the fuss[SEP*] There ain't nobody that spies like us[SEP*] Spies like us"
Here Today,Paul McCartney,"And if I said I really knew you well[SEP*] What would your answer be[SEP*] If you were here today? Ooh[SEP*] Here today[SEP*] Well, knowing you, you'd probably laugh[SEP*] And say that we were worlds apart[SEP*] If you were here today, ooh[SEP*] Here today[SEP*] But as for me[SEP*] I still remember how it was before[SEP*] And I am holding back the tears no more[SEP*] Ooh, I love you, ooh[SEP*] What about the time we met? (What about the time we met?)[SEP*] Well, I suppose that you could say that we were playing hard to get[SEP*] Didn't understand a thing[SEP*] But we could always sing[SEP*] What about the night we cried? (What about the night we cried?)[SEP*] Because there wasn't any reason left to keep it all inside?[SEP*] Never understood a word[SEP*] But you were always there with a smile[SEP*] And if I say I really loved you[SEP*] And was glad you came along[SEP*] Then you were here today, ooh[SEP*] For you were in my song, ooh[SEP*] Here today"
Can't Help Thinking About Me,David Bowie,"Question-time that says I brought dishonor[SEP*] My head's bowed in shame[SEP*] It seems that I've blackened the family name[SEP*] Mother says that she can't stand the neighbors' talking[SEP*] I've gotta pack my bags, leave this home, start walking[SEP*] I'm guilty[SEP*] I wish that I was sorry this time[SEP*] I wish that I could pay for my crime[SEP*] I can't help thinking about me[SEP*] Can't help thinking about me[SEP*] Remember when we used to go to church on Sundays[SEP*] I lay awake at night, terrified of school on Mondays[SEP*] Oh, but it's too late now[SEP*] I wish I was a child again[SEP*] I wish I felt secure again[SEP*] I can't help thinking about me[SEP*] Can't help thinking about me[SEP*] As I pass a recreation ground[SEP*] I remember my friends, always been found and I can't[SEP*] Can't help thinking about me[SEP*] Now I leave them all in the never-never land[SEP*] The station seems so cold, the ticket's in my hand[SEP*] My girl calls my name, ""Hi Dave""[SEP*] Drop in, see around, come back[SEP*] If you're this way again[SEP*] Oh, I'm on my own[SEP*] I've got a long way to go[SEP*] I hope I make it on my own[SEP*] I can't help thinking about me[SEP*] Can't help thinking about me[SEP*] Oh, my past is gone[SEP*] And though I can't help thinking about me[SEP*] I can't help thinking about me[SEP*] I can't help thinking about me[SEP*]"
Be My Wife,David Bowie,Sometimes you get so lonely[SEP*] Sometimes you get nowhere[SEP*] I've lived all over the world[SEP*] I've left every place[SEP*] Please be mine[SEP*] Share my life[SEP*] Stay with me[SEP*] Be my wife[SEP*] Sometimes you get so lonely[SEP*] Sometimes you get nowhere[SEP*] I've lived all over the world[SEP*] I've left every place[SEP*] Please be mine[SEP*] Share my life[SEP*] Stay with me[SEP*] Be my wife[SEP*]
All the Young Dudes,David Bowie,"Well, Billy rapped all night about his suicide[SEP*] How he'd kick it in the head when he was twenty-five[SEP*] Speed jive, don't wanna stay alive when you're twenty-five[SEP*] And Wendy's stealing clothes from Marks and Sparks[SEP*] And Freddie's got spots from ripping off the stars from his face[SEP*] Funky little boat race[SEP*] Television man is crazy[SEP*] Saying we're juvenile delinquent wrecks[SEP*] Oh, man, I need TV when I got T. Rex[SEP*] Oh, brother, you guessed[SEP*] I'm a dude, dad[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] Now, Lucy looks sweet 'cause he dresses like a queen[SEP*] But he can kick like a mule, it's a real mean team[SEP*] But we can love, oh, yes, we can love[SEP*] And my brother's back at home with his Beatles and his Stones[SEP*] We never got it off on that revolution stuff[SEP*] What a drag, too many snags[SEP*] Now I've drunk a lot of wine and I'm feeling fine[SEP*] Gonna race some cat to bed[SEP*] Oh, is this concrete all around[SEP*] Or is it in my head?[SEP*] Oh, brother, you guessed[SEP*] I'm a dude, dad[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news[SEP*] All the young dudes[SEP*] Carry the news[SEP*] Boogaloo dudes[SEP*] Carry the news"
Absolute Beginners,David Bowie,"I've nothing much to offer[SEP*] There's nothing much to take[SEP*] I'm an absolute beginner[SEP*] And I'm absolutely sane[SEP*] As long as we're together[SEP*] The rest can go to hell[SEP*] I absolutely love you[SEP*] But we're absolute beginners[SEP*] With eyes completely open[SEP*] But nervous all the same[SEP*] If our love song[SEP*] Could fly over mountains[SEP*] Could laugh at the ocean[SEP*] Just like the films[SEP*] There's no reason[SEP*] To feel all the hard times[SEP*] To lay down the hard lines[SEP*] It's absolutely true[SEP*] Nothing much could happen[SEP*] Nothing we can't shake[SEP*] Oh, we're absolute beginners[SEP*] With nothing much at stake[SEP*] As long as you're still smiling[SEP*] There's nothing more I need[SEP*] I absolutely love you[SEP*] But we're absolute beginners[SEP*] But if my love is your love[SEP*] We're certain to succeed[SEP*] If our love song[SEP*] Could fly over mountains[SEP*] Could sail over heartaches[SEP*] Just like the films[SEP*] There's no reason[SEP*] To feel all the hard times[SEP*] To lay down the hard lines[SEP*] It's absolutely true"
Black Tie White Noise,David Bowie,"Getting my facts from a Benetton ad[SEP*] I'm looking through African eyes[SEP*] Lit by the glare of an L.A. fire[SEP*] I've got a face, not just my race[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise[SEP*] I've got a face, not just my race[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise[SEP*] Big screen dolls, tits and explosions[SEP*] Sleepy time, bashful, but passion is bashing as passion's as deep as an ocean[SEP*] And the space between us is as deep as an ocean[SEP*] I've got a face, not just my race[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise[SEP*] I've got a face, not just my race[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise[SEP*] The police won't find the love in me, I smile and show my teeth[SEP*] Last night I slept with a stranger[SEP*] For the first time since you've gone[SEP*] Regretfully, I say I never wanted any one so much[SEP*] I want you more than I can say[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise[SEP*] Bang, bang, I've got you babe[SEP*] Black tie, white noise[SEP*] Black tie, white noise"
